smiles,IC50,mol_weight,bioactivity_class
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,620.0,497.5590000000004,1
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,3200.0,370.4560000000002,0
N#CC(C#N)=Cc1cc[n+]([O-])cc1,1300000.0,171.15899999999996,0
COc1cc(C=C(C#N)C#N)ccc1O,200000.0,200.197,0
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1.2,511.9890000000001,1
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,200.0,511.9890000000001,1
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1290.0,511.9890000000001,0
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,200.0,292.34600000000006,1
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,39.0,357.2150000000001,1
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,482.0,306.373,1
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,800.0,268.23199999999997,1
N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,560000.0,243.17799999999994,0
N#C/C(=C\c1ccccc1)C(=O)O,850000.0,173.17099999999996,0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,2500.0,252.233,0
N#CC(C#N)=Cc1ccc[nH]1,260000.0,143.14899999999997,0
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,410.0,495.9460000000002,1
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.9,509.97300000000024,1
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2580.0,509.97300000000024,0
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,38.0,414.3110000000001,1
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,335.0,292.34600000000006,1
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,20000.0,397.84100000000007,0
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,25.0,433.31300000000016,1
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,2400.0,220.253,0
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,460000.0,282.387,0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,20000.0,355.76000000000005,0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,602.6990000000002,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,200.0,602.6990000000002,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1950.0,602.6990000000002,0
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,1500000.0,208.16899999999998,0
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,160000.0,245.194,0
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,180.0,455.8770000000003,1
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,450.0,511.9890000000001,1
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,500.0,511.9890000000001,1
